id,age,job,marital,education,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
98749,32,admin.,single,secondary,64,yes,no,unknown,may,202,2,-1,0,unknown,0
19550,45,blue-collar,married,secondary,534,no,no,cellular,aug,104,6,-1,0,unknown,0
75084,45,technician,married,secondary,1477,yes,no,cellular,nov,75,1,132,1,failure,0
65715,39,technician,married,tertiary,14,no,no,cellular,jan,114,2,-1,0,unknown,0
41412,49,blue-collar,single,unknown,2222,no,no,unknown,jun,114,2,-1,0,unknown,0
47630,62,entrepreneur,married,secondary,3904,no,no,telephone,jan,403,2,-1,0,unknown,1
25645,46,technician,married,secondary,15120,no,no,cellular,nov,27,3,108,3,other,0
49416,57,admin.,married,secondary,999,no,no,cellular,aug,68,1,-1,0,unknown,0
38580,39,services,married,unknown,10189,yes,no,cellular,nov,186,2,123,2,failure,0
66999,38,entrepreneur,married,secondary,0,yes,no,cellular,nov,202,1,-1,0,unknown,0
69128,42,technician,single,secondary,0,yes,no,unknown,may,293,1,-1,0,unknown,0
28620,39,services,married,primary,1601,yes,no,unknown,may,201,2,-1,0,unknown,0
98123,30,student,single,secondary,2046,no,no,telephone,aug,133,1,-1,0,unknown,0
10618,57,retired,married,secondary,211,yes,no,unknown,may,248,2,-1,0,unknown,0
75738,48,management,divorced,tertiary,4961,yes,no,unknown,jun,64,1,-1,0,unknown,0
98390,32,technician,married,tertiary,15,no,no,cellular,may,226,1,346,1,failure,0
19835,29,admin.,single,tertiary,8,no,no,cellular,jan,468,1,-1,0,unknown,0
40565,38,technician,married,tertiary,536,no,no,cellular,aug,360,4,-1,0,unknown,0
67559,48,management,married,tertiary,1567,yes,no,cellular,aug,77,3,-1,0,unknown,0
27589,32,services,married,secondary,426,yes,yes,cellular,may,383,1,339,1,other,0
36034,24,blue-collar,married,secondary,984,yes,no,unknown,may,89,3,-1,0,unknown,0
73430,28,unemployed,single,tertiary,0,no,no,cellular,feb,15,9,-1,0,unknown,0
78848,21,management,single,secondary,691,no,no,cellular,aug,219,1,101,2,other,0
48966,51,blue-collar,divorced,primary,-380,yes,no,unknown,may,181,1,-1,0,unknown,0
83822,29,admin.,single,tertiary,14,no,no,cellular,jan,106,1,105,2,failure,0
36561,39,admin.,married,secondary,186,yes,no,cellular,jul,114,2,-1,0,unknown,0
27549,23,student,single,secondary,1284,yes,no,unknown,jun,327,10,-1,0,unknown,0
77108,28,technician,single,secondary,31,no,no,cellular,jul,323,2,-1,0,unknown,0
17239,33,self-employed,married,tertiary,666,yes,no,cellular,apr,297,1,-1,0,unknown,0
15339,32,management,married,tertiary,1270,no,no,cellular,sep,420,1,15,3,success,0
70579,32,blue-collar,married,primary,-105,yes,yes,telephone,jul,454,19,-1,0,unknown,0
53087,31,unemployed,married,tertiary,3640,no,no,cellular,nov,120,1,-1,0,unknown,0
56310,28,technician,single,tertiary,2489,yes,no,telephone,feb,342,2,-1,0,unknown,1
23042,28,student,single,secondary,689,no,no,cellular,feb,36,1,-1,0,unknown,0
73495,31,services,single,secondary,365,no,no,cellular,jun,337,3,-1,0,unknown,0
92203,34,technician,married,secondary,1137,no,no,cellular,jan,383,2,206,1,other,0
78157,34,technician,married,tertiary,0,no,no,cellular,may,58,1,-1,0,unknown,0
27175,45,management,divorced,tertiary,54,no,yes,cellular,jul,34,3,-1,0,unknown,0
24542,33,blue-collar,single,secondary,498,no,no,cellular,apr,301,1,-1,0,unknown,1
71274,38,management,single,tertiary,1637,yes,no,cellular,apr,150,2,-1,0,unknown,0
77812,44,blue-collar,married,primary,0,no,no,unknown,jun,192,5,-1,0,unknown,0
16036,34,self-employed,married,tertiary,191,no,no,cellular,jul,59,1,-1,0,unknown,0
71166,33,self-employed,married,tertiary,1545,yes,no,unknown,may,357,2,-1,0,unknown,0
24791,30,blue-collar,married,secondary,1445,yes,no,unknown,may,140,1,-1,0,unknown,0
70161,51,retired,married,primary,670,yes,no,cellular,may,391,1,-1,0,unknown,0
53465,40,technician,single,secondary,277,yes,no,unknown,may,274,2,-1,0,unknown,0
39345,32,technician,single,tertiary,543,no,no,cellular,aug,385,3,-1,0,unknown,0
27375,30,management,single,tertiary,6164,yes,no,unknown,may,152,11,-1,0,unknown,0
60417,42,student,married,unknown,2374,no,no,unknown,jun,158,2,-1,0,unknown,0
89692,35,management,married,tertiary,481,no,no,cellular,aug,73,2,-1,0,unknown,0
63213,40,management,married,primary,535,yes,no,telephone,may,11,6,-1,0,unknown,0
40305,46,management,married,tertiary,4693,no,yes,cellular,aug,79,1,394,2,failure,1
41208,39,entrepreneur,married,secondary,0,no,no,cellular,jul,528,9,-1,0,unknown,0
85308,26,blue-collar,married,secondary,484,yes,no,unknown,may,48,2,-1,0,unknown,0
